index,label
0,1
1,1
2,1
3,1
4,1
5,0
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,1
21,1
22,0
23,0
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,1
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,0
60,1
61,0
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,1
94,1
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,1
120,1
121,1
122,0
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,0
145,0
146,0
147,1
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,0
211,1
212,0
213,1
214,0
215,0
216,0
217,0
218,1
219,1
220,0
221,1
222,0
223,1
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,1
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,1
335,0
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,0
346,1
347,0
348,1
349,0
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,0
358,0
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,0
389,1
390,0
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,1
399,0
400,1
401,1
402,1
403,0
404,0
405,1
406,1
407,1
408,0
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,0
422,1
423,1
424,0
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,0
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,0
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,0
459,1
460,1
461,1
462,0
463,1
464,0
465,1
466,1
467,1
468,0
469,1
470,1
471,0
472,1
473,1
474,0
475,0
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,0
485,0
486,1
487,0
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,0
555,1
556,0
557,0
558,1
559,0
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,0
578,1
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,1
612,0
613,1
614,1
615,1
616,1
617,1
618,0
619,0
620,1
621,1
622,1
623,1
624,1
625,1
626,1
627,0
628,1
629,1
630,1
631,0
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,1
640,1
641,0
642,1
643,1
644,0
645,0
646,0
647,1
648,1
649,0
650,1
651,1
652,1
653,1
654,1
655,1
656,0
657,1
658,1
659,0
660,1
661,0
662,0
663,1
664,1
665,0
666,1
667,0
668,1
669,1
670,1
671,1
672,1
673,1
674,1
675,0
676,0
677,0
678,0
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,1
695,1
696,0
697,1
698,1
699,1
700,1
701,0
702,0
703,1
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,0
714,0
715,1
716,0
717,1
718,1
719,0
720,1
721,1
722,1
723,0
724,1
725,0
726,0
727,1
728,0
729,1
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,1
740,0
741,1
742,1
743,0
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,1
763,1
764,1
765,1
766,1
767,0
768,0
769,1
770,1
771,0
772,1
773,1
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,0
782,1
783,1
784,1
785,1
786,0
787,1
788,1
789,0
790,1
791,1
792,1
793,1
794,1
795,1
796,0
797,1
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,1
807,1
808,1
809,1
810,1
811,0
812,1
